NUM_RESERVATION,NUM_VOL_ALLER,NUM_VOL_RETOURNER,ID_HOTEL,CODE,ID_CLIENT,DATE_RESERVATION,DEBUT_SEJOUR,DUREE_SEJOUR
1,242444,165514,473,IND,1903,2025-05-22,2025-12-28,169
2,79701,143978,405,GRP,1553,2023-01-25,2023-03-23,341
3,311746,473389,727,IND,3226,2023-08-27,2025-10-21,410
4,356035,31293,629,GRP,4973,2026-04-02,2026-09-21,76
5,169205,19576,733,IND,4366,2023-02-21,2023-04-15,978
6,376147,364136,905,IND,3564,2023-09-26,2026-03-07,211
7,28782,249464,544,IND,4799,2023-04-22,2023-07-29,967
8,289205,257922,550,IND,2839,2023-07-18,2025-10-29,397
9,36443,389072,418,IND,4829,2024-06-23,2026-02-02,179
10,415012,245007,445,GRP,4119,2025-04-09,2026-06-04,179
11,30893,119526,799,IND,4195,2024-10-09,2024-12-31,696
12,473890,273007,458,IND,4525,2023-10-31,2025-11-18,262
13,21733,47442,623,IND,336,2023-09-01,2024-08-20,341
14,49471,3899,83,GRP,4031,2023-03-13,2024-02-02,779
15,333511,436556,1,IND,4212,2025-05-15,2026-08-14,82
16,312753,324377,655,IND,1126,2023-05-15,2025-11-18,15
17,303846,353658,267,GRP,1216,2024-07-14,2026-08-31,13
18,17766,338050,20,IND,4922,2023-12-25,2025-12-23,232
19,33458,294789,656,IND,2975,2025-12-25,2026-11-11,31
20,229401,375678,447,GRP,3807,2024-03-03,2026-06-16,72
21,106200,361082,791,GRP,3942,2023-01-31,2023-02-18,1094
22,393011,247028,743,IND,4363,2024-02-13,2025-11-04,240
23,474634,261403,575,GRP,2663,2026-09-06,2026-11-11,15
24,384714,390471,777,GRP,3170,2023-02-10,2026-03-27,12
25,402176,315913,642,IND,1456,2026-04-11,2026-05-06,49
26,147107,425591,719,IND,2530,2023-02-22,2026-09-21,11
27,76872,169266,120,IND,4779,2024-03-20,2025-10-16,409
28,452672,355313,112,IND,468,2023-11-14,2025-12-25,35
29,417041,408341,381,IND,424,2023-08-05,2026-09-19,24
30,12740,400603,77,IND,27,2023-01-01,2025-08-27,274
31,46829,259861,15,IND,423,2023-03-09,2025-01-30,379
32,109318,41697,550,GRP,1306,2025-07-04,2026-07-28,23
33,474569,440217,38,IND,1586,2024-05-09,2025-11-25,135
34,296078,369949,886,IND,777,2025-01-29,2026-11-10,30
35,222526,257959,807,GRP,2896,2023-04-19,2024-09-28,712
36,61805,158212,786,IND,3756,2024-12-16,2025-06-25,344
37,141250,386362,164,GRP,2598,2025-06-04,2026-10-24,65
38,323057,214825,561,GRP,4063,2026-07-26,2026-11-07,8
39,38641,455905,780,GRP,516,2023-01-03,2023-01-20,1141
40,412501,320535,463,IND,1101,2023-08-30,2025-12-10,124
41,417781,445699,812,IND,4191,2026-07-20,2026-08-12,14
42,135001,134538,921,GRP,3498,2023-09-12,2026-08-05,128
43,429780,379554,552,IND,2551,2024-01-18,2026-01-26,330
44,26185,452709,330,IND,5000,2025-07-04,2025-09-19,365
45,240136,458663,632,IND,413,2024-02-23,2026-09-03,62
46,24193,440539,507,IND,3111,2023-02-07,2023-05-16,1180
47,6047,468211,198,GRP,4220,2024-10-26,2025-07-23,197
48,178494,306789,513,GRP,239,2023-03-27,2025-02-04,270
49,95820,428977,294,IND,2682,2024-01-04,2024-06-17,589
50,389791,267916,212,GRP,842,2023-05-05,2026-09-24,52
51,64088,415113,480,GRP,1368,2024-02-15,2025-11-23,308
52,37814,19702,674,GRP,3697,2023-04-01,2023-06-05,558
53,449275,342651,130,IND,4507,2023-12-25,2026-06-13,22
54,46158,215888,657,IND,931,2024-08-28,2026-05-17,187
55,40314,339853,806,GRP,1108,2023-03-23,2023-08-22,922
56,177859,449862,762,GRP,3143,2023-02-07,2024-03-15,787
57,146863,139570,757,IND,277,2023-08-12,2024-04-19,772
58,255266,382732,718,GRP,73,2026-04-25,2026-04-26,121
59,151701,280236,791,GRP,4351,2025-09-14,2025-09-24,169
60,319718,250301,345,GRP,1305,2023-11-11,2026-01-30,117
