1,686,5,"Expérience incroyable, cadre et service top.",5,"Équipage professionnel et attentif."
2,2800,5,"Confort optimal, très bon emplacement.",4,"Vol correct, dommage le retard."
3,6306,3,"Assez correct pour un court séjour.",2,"Retard prolongé sans infos."
4,512,1,"Chambre sale, expérience très décevante.",4,"Vol convenable, embarquement long."
5,1433,3,"Acceptable mais peu chaleureux.",5,"Confort et services irréprochables."
6,3309,3,"Passable, standard.",4,"Vol correct, dommage le retard."
7,1266,4,"Bon standing, quelques détails à améliorer.",3,"Moyen, manque de confort."
8,3316,5,"Accueil remarquable, beaucoup de petites attentions.",2,"Problèmes fréquents de logistique."
9,5621,1,"Chambre insalubre, plainte déposée.",4,"Bon vol, service présent."
10,1937,5,"Prestations haut de gamme et personnel attentif.",5,"Vol excellent, très satisfait."
11,5518,2,"Mauvaise expérience sur certains points.",4,"Satisfaisant, recommande."
12,2481,2,"Propreté douteuse.",4,"Bon vol malgré un léger retard."
13,6270,4,"Bon séjour, quelques petits défauts.",3,"Assez correct."
14,6010,4,"Bon séjour, chambre propre.",3,"Moyen, confortable pour court trajet."
15,5215,5,"Séjour relaxant, spa et services top.",5,"Confort et ponctualité, parfait."
16,955,1,"Dégueulasse, pleine d''insectes.",2,"Restauration faible."
17,4426,1,"Conditions épouvantables, départ anticipé.",2,"Bagages endommagés à l''arrivée."
18,682,3,"Rien à redire de particulier.",2,"Retard important."
19,5443,1,"Expérience catastrophique, évitez.",5,"Service haut de gamme et ponctuel."
20,471,3,"Passable, standard.",1,"Aucun support client, horreur."
21,6563,3,"Conforme à la description.",2,"Retard non expliqué."
22,3307,1,"Hôtel dangereux et sale.",3,"Standard, rien d''exceptionnel."
23,3596,5,"Hôtel de rêve, prestations haut de gamme.",1,"Baggages perdus et aucune aide."
24,4700,3,"Moyen, prestations limitées.",3,"Moyen, aucun luxe."
25,3090,5,"Parfait pour un week-end, calme et cosy.",5,"Service excellent, vol confortable."
26,6835,1,"Expérience catastrophique, évitez.",3,"Moyen, pas exceptionnel."
27,3685,4,"Très bon hôtel, chambre confortable.",3,"Correct, siège serré."
28,1390,3,"Hotel correct, prix un peu élevé.",3,"Moyen, rien d''exceptionnel."
29,4902,2,"Propreté médiocre.",5,"Confort remarquable et équipage top."
30,3696,2,"Mauvais rapport qualité/prix.",1,"Vol catastrophe : bagages perdus et service inexistant."
31,2329,1,"Conditions épouvantables, départ anticipé.",1,"Aucun suivi en cas d''incident."
32,3,4,"Très bien, personnel accueillant.",5,"Très bon confort et ponctualité."
33,6258,2,"Problèmes d''eau chaude.",3,"Assez correct."
34,6574,2,"Trop cher pour la qualité fournie.",4,"Vol agréable, bonne organisation."
35,6485,1,"Expérience catastrophique, évitez.",5,"Équipage professionnel et attentionné."
36,4221,1,"Mauvaise expérience, pas de remboursement.",2,"Retard important, mauvaise prise en charge."
37,2144,5,"Tout était parfait, je recommande sans hésiter.",4,"Vol correct, service présent."
38,6299,4,"Bon rapport qualité/prix, recommande.",4,"Vol agréable malgré un léger retard."
39,4787,4,"Bon séjour, quelques petits défauts.",4,"Vol bien organisé."
40,3319,1,"Bruyant et mal entretenu.",5,"Parfait, rien à signaler."
41,4020,5,"Cadre sublime, prestations de grande qualité.",3,"Assez correct."
42,5237,4,"Très satisfaite de mon séjour.",3,"Moyen, pas mal."
43,6750,5,"Expérience incroyable, je recommande vivement.",4,"Vol correct, service présent."
44,809,3,"Moyen, petit-déjeuner basique.",4,"Bon vol, boissons limitées."
45,6164,4,"Séjour agréable, quelques détails à revoir.",4,"Satisfaisant malgré un petit retard."
46,6500,2,"Trop cher pour la qualité fournie.",2,"Retard prolongé."
47,6660,4,"Très bon, confort appréciable.",5,"Équipage très pro, vol agréable."
48,3497,4,"Beau lieu, mais personnel parfois débordé.",3,"Correct mais sans extras."
49,3015,3,"Moyen, acceptable.",4,"Bon vol, service ok."
50,2138,3,"Correct pour un passage court.",1,"Service client inexistant."
51,4617,5,"Service irréprochable, cadre magnifique.",4,"Bon vol, recommande."
52,638,3,"Hôtel satisfaisant pour le prix.",5,"Vol impeccable, service 5 étoiles."
53,4704,4,"Séjour agréable, recommande.",2,"Retard non expliqué."
54,428,4,"Séjour agréable, hôtel bien entretenu.",2,"Retard et bagages retardés."
55,3494,4,"Très bien, petites améliorations à prévoir.",3,"Correct, siège étroit."
56,868,3,"Acceptable, emplacement pratique.",1,"Vol chaotique, aucune aide."
57,3931,4,"Très satisfaite de mon séjour.",5,"Vol parfait, personnel attentionné et service excellent."
58,1855,3,"Séjour convenable, emplacement pratique.",2,"Pas assez d''informations durant le retard."
59,1967,4,"Très bon, confort appréciable.",4,"Vol bien organisé."
60,3081,2,"Problèmes d''hygiène récurrents.",4,"Bon voyage, recommande."
61,2826,2,"Mauvaise odeur dans la chambre.",5,"Voyage parfait, mise en place professionnelle."
62,5008,2,"Propreté douteuse.",3,"Moyen, passagers nombreux."
63,2044,2,"Propreté douteuse.",5,"Équipage professionnel et attentionné."
64,6126,5,"Séjour relaxant, spa et services top.",2,"Retard prolongé."
65,6979,5,"Séjour incroyable, staff aux petits soins.",4,"Vol correct, dommage le retard."
66,5805,3,"Moyen mais correct.",4,"Bonne expérience globale."
67,2603,4,"Séjour agréable, recommande.",5,"Vol excellent, équipage très pro."
68,5986,1,"Salle de bain cassée, inacceptable.",1,"Expérience catastrophique."
69,2941,1,"Désastreux, nous sommes partis tôt.",3,"Correct, siège étroit."
70,4242,2,"Accueil moyen et équipement dépassé.",2,"Retard et information pauvre."
71,4647,5,"Hôtel magnifique, prestations parfaites.",3,"Moyen, bruyant."
72,4093,3,"Chambre correcte mais un peu petite.",1,"Chaotique, aucune information."
73,6102,3,"Rien d''extraordinaire.",5,"Très bon vol, équipage souriant."
74,3471,5,"Tout était parfait, service irréprochable.",5,"Équipage professionnel et attentionné."
75,4375,5,"Séjour inoubliable, bravo à l''équipe.",2,"Retard prolongé sans infos."
76,6293,5,"Parfait du début à la fin, service exceptionnel.",5,"Service excellent, vol confortable."
77,2354,2,"Mauvais rapport qualité/prix.",2,"Peu d''informations durant le retard."
78,5606,2,"Équipements défaillants.",4,"Vol agréable, bonne organisation."
79,4035,3,"Hôtel moyen, rien d''exceptionnel.",1,"Vol catastrophe : bagages perdus et service inexistant."
80,6516,3,"Moyen, standard.",4,"Satisfaisant malgré un petit retard."
81,3267,5,"Hôtel cosy, petits-déjeuners excellents.",1,"Aucun service, très mauvais."
82,1295,4,"Séjour positif, quelques retards de service.",3,"Acceptable, siège étroit."
83,6365,1,"Chambres sales, bruit constant.",1,"Très mauvaise expérience au sol."
84,412,3,"Correct, sans plus.",2,"Retard et mauvaise communication."
85,6269,2,"Problèmes répétitifs pendant le séjour.",1,"Retard long et aucune aide."
86,4091,4,"Très bon séjour, quelques améliorations.",2,"Retard et information pauvre."
87,2357,2,"Confort insuffisant pour le prix.",4,"Vol agréable malgré le retard."
88,6111,2,"Equipements vieillissants.",5,"Vol excellent, très satisfait."
89,3697,2,"Propreté douteuse.",3,"Correct mais serré."
90,2159,4,"Très bon hôtel, chambre confortable.",5,"Super vol, personnel très aidant."
91,4658,5,"Personnel chaleureux, prestations haut de gamme.",3,"Correct, pas de luxe."
92,5641,5,"Hôtel magnifique, prestations parfaites.",5,"Expérience premium, service impeccable."
93,5560,3,"Hôtel correct, sans plus.",1,"Perte de bagages et aucune aide."
94,4456,2,"Equipements non fonctionnels.",5,"Équipage professionnel et attentif."
95,6527,5,"Hôtel charmant, déco soignée et personnel souriant.",2,"Retard important et mauvaise prise en charge."
96,1006,1,"Horrible, je ne reviendrai jamais.",4,"Très bien pour le prix."
97,2884,1,"Conditions épouvantables, départ anticipé.",2,"Retard important et mauvaise prise en charge."
98,6514,1,"Chambre inadmissible, très sale.",1,"Expérience terrible, vol chaotique."
99,3690,4,"Excellent standing, petit bémol sur la carte.",1,"Désastreux, vols annulés."
100,174,1,"Hôtel sale, fuite d''eau dans la chambre.",5,"Vol parfait, personnel attentionné et service excellent."
101,6026,4,"Très satisfaite de mon séjour.",3,"Moyen, pas exceptionnel."
102,2940,1,"Service inexistant, très mauvais.",2,"Bagages endommagés à l''arrivée."
103,4873,1,"Expérience honteuse, propreté insuffisante.",4,"Satisfaisant, mais embarquement lent."
104,4922,4,"Globalement satisfait, légère déception sur le room service.",3,"Correct mais sans extras."
105,382,3,"Passable, standard.",2,"Problèmes de logistique."
106,2560,2,"Chambres bruyantes, mauvaise isolation.",1,"Expérience catastrophique."
107,2906,1,"Problèmes d''hygiène, très mauvais.",3,"Siège étroit mais vol acceptable."
108,35,5,"Prestations haut de gamme et personnel attentif.",5,"Équipage très pro, vol agréable."
109,2191,3,"Correct mais isolé.",3,"Passable, correct."
